OrderID,IdentityFeature1,IdentityFeature2,IdentityFeature3,IdentityFeature4,IdentityFeature5,IdentityFeature6,IdentityFeature7,IdentityFeature8,IdentityFeature9,IdentityFeature10,IdentityFeature11,IdentityFeature12,IdentityFeature13,IdentityFeature14,IdentityFeature15,IdentityFeature16,IdentityFeature17,IdentityFeature18,IdentityFeature19,IdentityFeature20,IdentityFeature21,IdentityFeature22,IdentityFeature23,IdentityFeature24,IdentityFeature25,IdentityFeature26,IdentityFeature27,IdentityFeature28,IdentityFeature29,IdentityFeature30,IdentityFeature31,IdentityFeature32,IdentityFeature33,IdentityFeature34,IdentityFeature35,IdentityFeature36,IdentityFeature37,IdentityFeature38,DeviceOS,DeviceModel
3229860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3510768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3055818,-5.0,75709.0,2.0,0.0,0.0,0.0,,,2.0,0.0,100.0,NotFound,49.0,-300.0,Found,Found,166.0,,390.0,489.0,,,,,,,,Found,Found,Mac OS X 10_10_5,safari generic,24.0,1440x900,match_status:2,T,F,T,F,desktop,MacOS
3272931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3510649,-20.0,813811.0,,,0.0,0.0,,,,,100.0,NotFound,64.0,,Unknown,,225.0,,266.0,325.0,,,,,,,,New,NotFound,,mobile safari 11.0,,,,F,F,F,F,mobile,
3477231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3253474,-5.0,165592.0,0.0,0.0,0.0,-9.0,,,0.0,0.0,100.0,Found,49.0,-300.0,Found,Found,166.0,15.0,193.0,600.0,,,,,,,,Found,Found,iOS 11.2.5,mobile safari generic,32.0,1334x750,match_status:1,T,F,F,F,mobile,iOS Device
3203257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3022295,-5.0,92392.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,-300.0,Found,Found,166.0,,633.0,533.0,,,,,,,,Found,Found,Windows 10,edge 15.0,24.0,,match_status:2,T,F,T,T,desktop,Windows
3500207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3487299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3294806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3291286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3066464,-15.0,,,,,,,,,,,NotFound,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3160808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3223084,-5.0,54016.0,0.0,0.0,3.0,0.0,,,2.0,0.0,100.0,NotFound,49.0,-480.0,Found,Found,166.0,13.0,529.0,222.0,,,,,,,,Found,Found,Mac OS X 10_12_6,chrome 63.0,24.0,5120x2880,match_status:2,T,F,T,F,desktop,MacOS
3408193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3389942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3482804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3366663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3121655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3152327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3537646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3513417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3394237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3104322,-5.0,150776.0,,,,,,,,,100.0,NotFound,52.0,-360.0,New,NotFound,166.0,,621.0,600.0,,,,,,,,New,NotFound,Windows 8.1,firefox 57.0,24.0,1920x1080,match_status:2,T,F,T,F,desktop,Windows
3024969,-5.0,41394.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,-360.0,Found,Found,166.0,,621.0,253.0,,,,,,,,Found,Found,Windows 10,chrome 62.0,24.0,1920x1080,match_status:2,T,F,T,T,desktop,Windows
3217570,-5.0,140962.0,,,0.0,0.0,,,,,100.0,NotFound,49.0,,New,NotFound,225.0,,427.0,469.0,,,,,,,,New,NotFound,,chrome 63.0 for android,,,,F,F,T,F,mobile,M4 SS4453 Build/MMB29M
3018546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3513346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3090725,-5.0,13133.0,,,0.0,-1.0,,,,,100.0,NotFound,52.0,-480.0,New,NotFound,166.0,,399.0,144.0,,,,,,,,New,NotFound,Windows 10,chrome 63.0,24.0,1680x1050,match_status:2,T,F,T,T,desktop,Windows
3048512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3442097,-5.0,232014.0,,,1.0,-6.0,,,,,100.0,NotFound,52.0,-300.0,New,NotFound,166.0,13.0,193.0,333.0,,,,,,,,New,NotFound,Windows 10,chrome 65.0,24.0,1920x1080,match_status:2,T,F,T,F,desktop,Windows
3166476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3540724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3344473,-20.0,318575.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,33.0,,Found,Found,225.0,,266.0,469.0,,,,,,,,Found,Found,,chrome 55.0 for android,,,,F,F,T,F,mobile,SM-T800 Build/MMB29K
3227788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3389927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454961,-5.0,3422.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,-300.0,Found,Found,166.0,,410.0,533.0,,,,,,,,Found,Found,Windows 7,firefox 59.0,24.0,1280x1024,match_status:2,T,F,T,T,desktop,Windows
3574943,-5.0,165399.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,Found,27.0,-300.0,Found,Found,166.0,13.0,100.0,549.0,,,,,,,,Found,Found,iOS 11.2.6,google,32.0,2001x1125,match_status:2,T,F,T,F,mobile,iOS Device
3530696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3471852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
