feature,importance
weekday,2905
CardInfo2,1176
hour,1157
PayerEmailProvider_RecipientEmailProvider,1149
CardInfo1_BillingRegion,1144
CardType,1123
CardInfo1_BillingRegion_PayerEmailProvider,1086
CardNetwork,1083
CardInfo2_freq,1066
CardInfo5,1061
CardInfo1_CardType,1000
BillingRegion,980
OrderAmount,918
BillingRegion_freq,896
PayerEmailProvider_freq,810
CardInfo1,805
PayerEmailProvider,797
dist1,794
MatchStatus6,727
CardInfo1_OrderAmount_std_is_missing,722
day,714
CustomerBehavior2,680
CustomerBehavior1,675
V289,664
CardInfo1_BillingRegion_PayerEmailProvider_OrderTimestamp_count,658
OrderTimestamp,637
CardInfo1_RecipientEmailProvider_nunique,625
TimeDelta2_is_missing,602
V124,601
CardInfo3,598
TimeDelta3_is_missing,578
TimeDelta4,575
cents,559
V166,553
CardInfo1_BillingRegion_OrderAmount_std_is_missing,552
CardInfo2_is_missing,547
MatchStatus6_is_missing,546
DeviceModel_freq,544
TimeDelta5,540
log_amt,539
RecipientEmailProvider_freq,539
CardInfo1_PayerEmailProvider_nunique,534
CardInfo1_BillingRegion_OrderAmount_std,533
CardInfo1_BillingRegion_PayerEmailProvider_nunique,532
CardInfo1_BillingRegion_OrderTimestamp_count,531
V283,527
CustomerBehavior8,526
IdentityFeature6,518
TimeDelta11,517
V310,515
CustomerBehavior5,513
IdentityFeature5,512
MatchStatus7,510
V48,509
CardInfo1_OrderAmount_mean,508
MatchStatus9,506
V286,504
dist1_is_missing,503
TimeDelta15,502
CardInfo1_BillingRegion_V3_std,501
TimeDelta5_is_missing,499
TimeDelta2,495
CardInfo1_BillingRegion_OrderAmount_mean,494
V301,488
V123,485
TimeDelta12,466
TimeDelta3,464
IdentityFeature1,462
TimeDelta6_is_missing,455
V23,454
V130,451
V162,448
MatchStatus8,440
CustomerBehavior3,439
V44,439
TimeDelta13,439
CustomerBehavior9,433
RecipientEmailProvider,433
TimeDelta1_is_missing,429
V281,427
V284,426
V314,425
CardInfo1_OrderAmount_std,425
V4,425
CardInfo1_BillingRegion_RecipientEmailProvider_nunique,422
V11,422
MatchStatus4,421
V309,421
V297,420
CardInfo5_is_missing,418
CardInfo1_freq,416
IdentityFeature9,415
V291,414
TimeDelta1,411
V56,410
V111,409
V36,407
V117,404
V160,403
CardNetwork_is_missing,402
V82,399
MatchStatus4_is_missing,397
V78,390
TimeDelta14,385
TimeDelta6,383
CardInfo3_is_missing,383
IdentityFeature3,382
IdentityFeature19,380
CardInfo1_V3_mean,379
PaymentType,379
V207,378
V285,378
CustomerBehavior11,372
TimeDelta10,371
V76,364
V320,363
V175,363
V234,357
TimeDelta12_is_missing,357
V136,356
TimeDelta14_is_missing,356
V54,356
V209,355
V296,355
V210,354
CardInfo1_V3_std,353
V108,353
V115,346
CustomerBehavior10,345
V129,343
PayerEmailProvider_is_missing,342
TimeDelta8,340
V59,340
V267,339
CustomerBehavior13,338
CardInfo1_BillingRegion_V1_std,338
BillingRegion_is_missing,338
V13,337
V266,337
RecipientEmailProvider_is_missing,335
V121,334
IdentityFeature13_is_missing,332
IdentityFeature20,328
CardInfo1_V1_std,326
V187,324
V62,324
V274,323
V205,322
V138,321
V257,320
V69,320
CardInfo1_BillingRegion_V1_std_is_missing,317
IdentityFeature38,317
V220,316
V261,315
V271,314
V224,314
BillingCountry,313
V17,313
IdentityFeature33_is_missing,313
V47,312
V165,310
V198,309
V20,309
V218,309
MatchStatus5_is_missing,308
TimeDelta9,308
V201,307
IdentityFeature33,307
IdentityFeature4,306
MatchStatus5,300
V142,299
V120,295
V138_is_missing,294
IdentityFeature13,294
IdentityFeature3_is_missing,294
TimeDelta8_is_missing,294
V307,293
V252,293
CustomerBehavior6,288
TimeDelta13_is_missing,285
V221,285
IdentityFeature2,281
IdentityFeature31,280
V107_is_missing,279
V188,278
IdentityFeature16,277
V253,276
CardInfo1_V1_std_is_missing,276
V258,274
V3,273
MatchStatus7_is_missing,272
V294,272
V229,271
MatchStatus3,270
V107,269
CardInfo1_V1_mean_is_missing,266
CustomerBehavior4,265
IdentityFeature36,264
IdentityFeature28,263
V30,262
MatchStatus8_is_missing,262
V173,262
V91,262
CardInfo1_BillingRegion_V3_mean,261
V27,261
MatchStatus2,260
IdentityFeature31_is_missing,259
V40,259
V277,258
IdentityFeature17,256
DeviceOS_freq,255
V70,255
V303,255
IdentityFeature14,254
CustomerBehavior12,254
CardInfo1_BillingRegion_V1_mean_is_missing,251
CardInfo1_V1_mean,251
V203,251
DeviceOS,249
IdentityFeature12,246
V169,245
V240,244
V80,242
V139,241
V147,240
V37,239
V89,237
V260,236
V176,233
IdentityFeature5_is_missing,229
V250,225
DeviceModel_is_missing,224
V26,224
V182,221
DeviceModel,221
V264,220
V235,219
V226,218
CardInfo1_BillingRegion_V1_mean,216
V156,215
V67,215
V171,215
V86,214
V178,213
IdentityFeature10,213
IdentityFeature30,212
IdentityFeature37,212
IdentityFeature15,211
IdentityFeature29,209
IdentityFeature16_is_missing,204
V223,204
IdentityFeature34_is_missing,202
IdentityFeature1_is_missing,201
MatchStatus1_is_missing,200
V6,199
IdentityFeature32,198
V284_is_missing,197
CardInfo2_freq_is_missing,197
V54_is_missing,195
V185,195
V215,195
V68,192
V305,191
V228,189
CustomerBehavior14,188
V127,188
V1,188
TimeDelta11_is_missing,186
V238,180
V180,180
V220_is_missing,175
V218_is_missing,174
IdentityFeature30_is_missing,174
V281_is_missing,174
IdentityFeature20_is_missing,170
IdentityFeature34,165
IdentityFeature14_is_missing,164
V8,164
CustomerBehavior7,163
TimeDelta15_is_missing,162
IdentityFeature19_is_missing,161
V13_is_missing,159
TimeDelta10_is_missing,157
TimeDelta4_is_missing,155
V88,154
V173_is_missing,150
V14,149
MatchStatus1,144
V65,144
IdentityFeature35,141
IdentityFeature32_is_missing,141
V76_is_missing,134
PayerEmailProvider_freq_is_missing,134
IdentityFeature17_is_missing,128
V36_is_missing,128
V41,128
IdentityFeature2_is_missing,125
CardType_is_missing,123
V169_is_missing,122
CardInfo1_OrderTimestamp_count,120
IdentityFeature11_is_missing,113
IdentityFeature11,108
CardInfo1_V3_mean_is_missing,100
CardInfo1_BillingRegion_V3_std_is_missing,99
CardInfo1_V3_std_is_missing,98
V139_is_missing,96
DeviceOS_is_missing,96
BillingCountry_is_missing,92
IdentityFeature4_is_missing,88
MatchStatus9_is_missing,85
RecipientEmailProvider_freq_is_missing,84
V223_is_missing,82
V108_is_missing,82
IdentityFeature9_is_missing,80
DeviceModel_freq_is_missing,72
V285_is_missing,69
V1_is_missing,68
V221_is_missing,68
CardInfo1_BillingRegion_V3_mean_is_missing,67
TimeDelta9_is_missing,67
V176_is_missing,59
IdentityFeature6_is_missing,59
V283_is_missing,57
V3_is_missing,53
IdentityFeature12_is_missing,51
MatchStatus2_is_missing,48
V14_is_missing,46
V37_is_missing,45
V56_is_missing,45
BillingRegion_freq_is_missing,43
V171_is_missing,40
IdentityFeature15_is_missing,36
V78_is_missing,36
V115_is_missing,36
V162_is_missing,34
DeviceOS_freq_is_missing,33
V289_is_missing,32
V20_is_missing,27
V142_is_missing,25
V130_is_missing,24
V175_is_missing,23
V82_is_missing,23
V178_is_missing,21
V111_is_missing,21
IdentityFeature10_is_missing,21
MatchStatus3_is_missing,20
V286_is_missing,20
V224_is_missing,20
V234_is_missing,20
V203_is_missing,20
V180_is_missing,19
V65_is_missing,18
V59_is_missing,15
V17_is_missing,15
V23_is_missing,15
IdentityFeature28_is_missing,14
V40_is_missing,13
V80_is_missing,12
V296_is_missing,11
V147_is_missing,11
V165_is_missing,10
V4_is_missing,10
V187_is_missing,9
V67_is_missing,9
V117_is_missing,8
V185_is_missing,8
V86_is_missing,7
V188_is_missing,7
V182_is_missing,6
V226_is_missing,6
V291_is_missing,6
V205_is_missing,5
V136_is_missing,4
V120_is_missing,4
V238_is_missing,4
V88_is_missing,4
V250_is_missing,3
V209_is_missing,3
V41_is_missing,3
V156_is_missing,3
IdentityFeature29_is_missing,3
V294_is_missing,3
V166_is_missing,3
V44_is_missing,3
V198_is_missing,3
V62_is_missing,2
V6_is_missing,2
V8_is_missing,2
V160_is_missing,2
V271_is_missing,2
IdentityFeature35_is_missing,2
V228_is_missing,2
V123_is_missing,2
V201_is_missing,1
V229_is_missing,1
V69_is_missing,1
V27_is_missing,1
V207_is_missing,1
V127_is_missing,1
V47_is_missing,1
V26_is_missing,1
V235_is_missing,1
V11_is_missing,0
IdentityFeature37_is_missing,0
IdentityFeature38_is_missing,0
IdentityFeature36_is_missing,0
V124_is_missing,0
V121_is_missing,0
V129_is_missing,0
V30_is_missing,0
V68_is_missing,0
V70_is_missing,0
V89_is_missing,0
V91_is_missing,0
V48_is_missing,0
V240_is_missing,0
V252_is_missing,0
V253_is_missing,0
V210_is_missing,0
V215_is_missing,0
V257_is_missing,0
V260_is_missing,0
V277_is_missing,0
V274_is_missing,0
V266_is_missing,0
V267_is_missing,0
V264_is_missing,0
V261_is_missing,0
V258_is_missing,0
V297_is_missing,0
V307_is_missing,0
V305_is_missing,0
V303_is_missing,0
V301_is_missing,0
V309_is_missing,0
V310_is_missing,0
V314_is_missing,0
V320_is_missing,0
